Object Count,Test #,Unsorted Existing Linear Search,Unsorted Absent Linear Search,Insertion Sort,Sorted Existing Linear Search,Sorted Absent Linear Search,Existing Binary Search,Absent Binary Search
5,1,0,0,1,0,0,0,0
5,2,0,0,1,0,0,0,0
5,3,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0
5,6,0,0,0,0,0,0,0
5,7,0,0,0,0,0,0,0
5,8,0,0,0,0,0,0,0
5,9,0,0,0,0,0,0,0
5,10,0,0,0,0,0,0,0
10,1,0,0,1,0,0,0,0
10,2,0,0,1,0,0,0,0
10,3,0,0,1,0,0,0,0
10,4,0,0,1,0,0,0,0
10,5,0,0,1,0,0,0,0
10,6,0,0,1,0,0,0,0
10,7,0,0,1,0,0,0,0
10,8,0,0,1,0,0,0,0
10,9,0,0,1,0,0,0,0
10,10,0,0,1,0,0,0,0
100,1,1,1,56,1,1,1,1
100,2,0,2,56,0,2,1,1
100,3,1,1,58,0,1,0,1
100,4,0,2,55,1,1,1,1
100,5,1,1,55,1,1,1,1
100,6,0,1,55,1,1,0,2
100,7,0,2,55,0,2,1,1
100,8,0,1,55,1,1,1,1
100,9,0,1,55,1,1,0,1
100,10,1,1,56,0,1,1,2
